molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target,is_outlier,molwt,LogP,TPSA,HBD,HBA,RotB,violation_count,passes_lipinski,passes_veber
CHEMBL169,=,=,nM,3600.0,uM,3.6,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,3600.0,uM,3.6,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,3800.0,uM,3.8,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,3900.0,uM,3.9,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,4000.0,uM,4.0,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL229789,=,=,nM,4080.0,uM,4.08,aromatase,False,338.40300000000013,4.616000000000004,55.760000000000005,1.0,4.0,4.0,0.0,True,True
CHEMBL169,=,=,nM,4120.0,uM,4.12,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,4120.0,uM,4.12,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL5630880,=,=,nM,4390.0,uM,4.39,PTP1B,False,428.37200000000007,2.823900000000001,91.83,0.0,6.0,3.0,0.0,True,True
CHEMBL260553,=,=,nM,4970.0,uM,4.97,aromatase,False,396.4390000000002,4.786000000000005,111.13,4.0,6.0,4.0,0.0,True,True
CHEMBL169,=,=,nM,5000.0,uM,5.0,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL9352,=,=,nM,5100.0,uM,5.1,aromatase,False,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
CHEMBL169,=,=,nM,5100.0,uM,5.1,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,5200.0,uM,5.2,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,5200.0,uM,5.2,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,5400.0,uM,5.4,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,5460.0,uM,5.46,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL323197,=,=,nM,5500.0,uM,5.5,PTP1B,False,410.46600000000024,5.089000000000003,100.13,3.0,6.0,5.0,1.0,True,True
CHEMBL5624477,=,=,nM,5720.0,uM,5.72,PTP1B,False,437.3890000000001,2.453900000000001,134.97,0.0,8.0,4.0,0.0,True,True
