molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target
CHEMBL444068,=,=,nM,80500.0,uM,80.5,aromatase
CHEMBL133724,=,=,nM,1320.0,uM,1.32,aromatase
CHEMBL135070,=,=,nM,3850.0,uM,3.85,aromatase
CHEMBL336102,=,=,nM,3960.0,uM,3.96,aromatase
CHEMBL132066,=,=,nM,8900.0,uM,8.9,aromatase
CHEMBL488,=,=,nM,18500.0,uM,18.5,aromatase
CHEMBL41429,=,=,nM,2900.0,uM,2.9,aromatase
CHEMBL63297,=,=,nM,190.0,uM,0.19,aromatase
CHEMBL416616,=,=,nM,62.0,uM,0.062,aromatase
CHEMBL294361,=,=,nM,30.0,uM,0.03,aromatase
CHEMBL65328,=,=,nM,590.0,uM,0.59,aromatase
CHEMBL294361,=,=,nM,10000.0,uM,10.0,aromatase
CHEMBL63336,=,=,nM,4300.0,uM,4.3,aromatase
CHEMBL41761,=,=,nM,41.0,uM,0.041,aromatase
CHEMBL304222,=,=,nM,330.0,uM,0.33,aromatase
CHEMBL39423,=,=,nM,200.0,uM,0.2,aromatase
CHEMBL419619,=,=,nM,1400.0,uM,1.4,aromatase
CHEMBL488,=,=,nM,18500.0,uM,18.5,aromatase
CHEMBL288695,=,=,nM,110.0,uM,0.11,aromatase
CHEMBL66673,=,=,nM,3350.0,uM,3.35,aromatase
CHEMBL291646,=,=,nM,200.0,uM,0.2,aromatase
CHEMBL287950,=,=,nM,90.0,uM,0.09,aromatase
CHEMBL39403,=,=,nM,61.5,uM,0.0615,aromatase
CHEMBL488,=,=,nM,18500.0,uM,18.5,aromatase
CHEMBL285193,=,=,nM,70.0,uM,0.07,aromatase
CHEMBL67842,=,=,nM,69.0,uM,0.069,aromatase
CHEMBL304788,=,=,nM,880.0,uM,0.88,aromatase
CHEMBL294360,=,=,nM,2170.0,uM,2.17,aromatase
CHEMBL287967,=,=,nM,170.0,uM,0.17,aromatase
CHEMBL65590,=,=,nM,5000.0,uM,5.0,aromatase
CHEMBL304583,=,=,nM,66.0,uM,0.066,aromatase
CHEMBL294361,=,=,nM,61.0,uM,0.061,aromatase
CHEMBL66867,=,=,nM,370.0,uM,0.37,aromatase
CHEMBL289945,=,=,nM,55.0,uM,0.055,aromatase
CHEMBL288804,=,=,nM,63.0,uM,0.063,aromatase
CHEMBL419619,=,=,nM,920.0,uM,0.92,aromatase
CHEMBL65549,=,=,nM,52020.0,uM,52.02,aromatase
CHEMBL294357,=,=,nM,3000.0,uM,3.0,aromatase
CHEMBL419619,=,=,nM,2800.0,uM,2.8,aromatase
CHEMBL304903,=,=,nM,185.0,uM,0.185,aromatase
CHEMBL422610,=,=,nM,950.0,nM,950.0,aromatase
CHEMBL131414,=,=,nM,800.0,nM,800.0,aromatase
CHEMBL129883,=,=,nM,490.0,nM,490.0,aromatase
CHEMBL132530,=,=,nM,370.0,nM,370.0,aromatase
CHEMBL336383,=,=,nM,658.0,nM,658.0,aromatase
CHEMBL133240,=,=,nM,342.0,nM,342.0,aromatase
CHEMBL132563,=,=,nM,236.0,nM,236.0,aromatase
CHEMBL130546,=,=,nM,245.0,nM,245.0,aromatase
CHEMBL176452,=,=,nM,1000.0,uM,1.0,aromatase
CHEMBL176452,=,=,nM,700.0,uM,0.7,aromatase
CHEMBL172263,=,=,nM,2000.0,uM,2.0,aromatase
CHEMBL172263,=,=,nM,4000.0,uM,4.0,aromatase
CHEMBL174308,=,=,nM,200.0,uM,0.2,aromatase
CHEMBL174407,=,=,nM,200.0,uM,0.2,aromatase
CHEMBL174407,=,=,nM,600.0,uM,0.6,aromatase
CHEMBL368631,=,=,nM,440.0,uM,0.44,aromatase
CHEMBL368631,=,=,nM,200.0,uM,0.2,aromatase
CHEMBL26651,=,=,nM,140.0,uM,0.14,aromatase
CHEMBL26651,=,=,nM,85.0,uM,0.085,aromatase
CHEMBL287574,=,=,nM,7000.0,uM,7.0,aromatase
CHEMBL287574,=,=,nM,11000.0,uM,11.0,aromatase
CHEMBL369603,=,=,nM,2000.0,uM,2.0,aromatase
CHEMBL369603,=,=,nM,7000.0,uM,7.0,aromatase
CHEMBL174909,=,=,nM,150.0,uM,0.15,aromatase
CHEMBL174909,=,=,nM,40.0,uM,0.04,aromatase
CHEMBL354401,=,=,nM,2500.0,uM,2.5,aromatase
CHEMBL354401,=,=,nM,7000.0,uM,7.0,aromatase
CHEMBL176539,=,=,nM,2000.0,uM,2.0,aromatase
CHEMBL488,=,=,nM,8000.0,uM,8.0,aromatase
CHEMBL488,=,=,nM,14000.0,uM,14.0,aromatase
CHEMBL368732,=,=,nM,2500.0,uM,2.5,aromatase
CHEMBL368732,=,=,nM,14000.0,uM,14.0,aromatase
CHEMBL268918,=,=,nM,60.0,nM,60.0,aromatase
CHEMBL268209,=,=,nM,250.0,nM,250.0,aromatase
CHEMBL8333,=,=,nM,270.0,nM,270.0,aromatase
CHEMBL266532,=,=,nM,280.0,nM,280.0,aromatase
CHEMBL1078534,=,=,nM,300.0,nM,300.0,aromatase
CHEMBL267668,=,=,nM,140.0,nM,140.0,aromatase
CHEMBL8254,=,=,nM,60.0,nM,60.0,aromatase
CHEMBL8417,=,=,nM,180.0,nM,180.0,aromatase
CHEMBL1078534,=,=,nM,530.0,nM,530.0,aromatase
CHEMBL8315,=,=,nM,520.0,nM,520.0,aromatase
CHEMBL274878,=,=,nM,620.0,nM,620.0,aromatase
CHEMBL8646,=,=,nM,200.0,nM,200.0,aromatase
CHEMBL8498,=,=,nM,250.0,nM,250.0,aromatase
CHEMBL8313,=,=,nM,54.0,nM,54.0,aromatase
CHEMBL440832,=,=,nM,54.0,nM,54.0,aromatase
CHEMBL266350,=,=,nM,76.0,nM,76.0,aromatase
CHEMBL2112301,>,>,nM,20000.0,uM,20.0,aromatase
CHEMBL23334,=,=,nM,3700.0,uM,3.7,aromatase
CHEMBL23394,=,=,nM,1300.0,uM,1.3,aromatase
CHEMBL283782,=,=,nM,14000.0,uM,14.0,aromatase
CHEMBL26279,=,=,nM,3400.0,uM,3.4,aromatase
CHEMBL24233,=,=,nM,1200.0,uM,1.2,aromatase
CHEMBL442262,=,=,nM,4800.0,uM,4.8,aromatase
CHEMBL288093,=,=,nM,23000.0,uM,23.0,aromatase
CHEMBL23485,=,=,nM,1000.0,uM,1.0,aromatase
CHEMBL24115,=,=,nM,6400.0,uM,6.4,aromatase
CHEMBL432751,=,=,nM,1800.0,uM,1.8,aromatase
CHEMBL23646,=,=,nM,240.0,uM,0.24,aromatase
CHEMBL279940,=,=,nM,750.0,uM,0.75,aromatase
CHEMBL285155,=,=,nM,6300.0,uM,6.3,aromatase
CHEMBL23484,=,=,nM,17000.0,uM,17.0,aromatase
CHEMBL285973,=,=,nM,5500.0,uM,5.5,aromatase
CHEMBL23364,=,=,nM,530.0,uM,0.53,aromatase
CHEMBL84230,>,>,nM,50000.0,uM,50.0,aromatase
CHEMBL24014,=,=,nM,1900.0,uM,1.9,aromatase
CHEMBL23148,=,=,nM,590.0,uM,0.59,aromatase
CHEMBL2112299,>,>,nM,20000.0,uM,20.0,aromatase
CHEMBL22485,=,=,nM,4200.0,uM,4.2,aromatase
CHEMBL23365,=,=,nM,4300.0,uM,4.3,aromatase
CHEMBL24593,=,=,nM,2400.0,uM,2.4,aromatase
CHEMBL284934,=,=,nM,22000.0,uM,22.0,aromatase
CHEMBL26065,>,>,nM,19000.0,uM,19.0,aromatase
CHEMBL23097,=,=,nM,230.0,uM,0.23,aromatase
CHEMBL254328,>,>,nM,20000.0,uM,20.0,aromatase
CHEMBL23150,=,=,nM,25000.0,uM,25.0,aromatase
CHEMBL24279,=,=,nM,9300.0,uM,9.3,aromatase
CHEMBL301106,=,=,nM,350.0,uM,0.35,aromatase
CHEMBL159073,=,=,nM,40.0,uM,0.04,aromatase
CHEMBL351167,=,=,nM,1100.0,uM,1.1,aromatase
CHEMBL288242,=,=,nM,3500.0,uM,3.5,aromatase
CHEMBL163420,=,=,nM,92.9,nM,92.9,aromatase
CHEMBL460382,=,=,nM,3560.0,uM,3.56,aromatase
CHEMBL2113619,=,=,nM,3700.0,uM,3.7,aromatase
CHEMBL9298,=,=,nM,39.0,nM,39.0,aromatase
CHEMBL442373,=,=,nM,2300.0,uM,2.3,aromatase
CHEMBL488,=,=,nM,18500.0,uM,18.5,aromatase
CHEMBL55144,=,=,nM,920.0,uM,0.92,aromatase
CHEMBL291700,=,=,nM,440.0,uM,0.44,aromatase
CHEMBL349822,=,=,nM,15.0,nM,15.0,aromatase
CHEMBL421149,=,=,nM,43.0,uM,0.043,aromatase
CHEMBL293122,=,=,nM,500.0,uM,0.5,aromatase
CHEMBL299066,=,=,nM,3060.0,uM,3.06,aromatase
CHEMBL41517,=,=,nM,800.0,uM,0.8,aromatase
CHEMBL41033,=,=,nM,3800.0,uM,3.8,aromatase
CHEMBL57513,=,=,nM,680.0,uM,0.68,aromatase
CHEMBL301608,=,=,nM,111000.0,uM,111.0,aromatase
CHEMBL350922,=,=,nM,390.0,uM,0.39,aromatase
CHEMBL1203766,=,=,nM,7.6,nM,7.6,aromatase
CHEMBL54803,=,=,nM,350.0,uM,0.35,aromatase
CHEMBL307160,=,=,nM,970.0,uM,0.97,aromatase
CHEMBL53644,=,=,nM,700.0,uM,0.7,aromatase
CHEMBL163413,>,>,nM,1000.0,nM,1000.0,aromatase
CHEMBL1203760,=,=,nM,21.0,nM,21.0,aromatase
CHEMBL442542,=,=,nM,860.0,uM,0.86,aromatase
