molecule_chembl_id,canonical_smiles
CHEMBL82981,C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12
CHEMBL81134,CC12CCC3C(CCC4=CCCCC43C)C1C[C@H](Br)C2=O
CHEMBL91992,O=C1/C(=C/c2ccncc2)CCc2cc(O)ccc21
CHEMBL93666,COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2
CHEMBL93828,O=C1c2cccc(O)c2CCC1Cc1ccncc1
CHEMBL92065,O=C1c2ccccc2CCC1Cc1ccncc1
CHEMBL92488,O=C1/C(=C/c2ccncc2)CCc2c(O)cccc21
CHEMBL313774,O=C1/C(=C/c2ccncc2)CCc2ccc(O)cc21
CHEMBL419131,COc1ccc2c(c1)C(=O)/C(=C/c1ccncc1)CC2
CHEMBL328217,COc1ccc2c(c1)CC/C(=C\c1ccncc1)C2=O
CHEMBL91101,COc1cccc2c1CC/C(=C\c1ccncc1)C2=O
CHEMBL91818,O=C1c2ccc(O)cc2CCC1Cc1ccncc1
CHEMBL90077,O=C1c2cc(O)ccc2CCC1Cc1ccncc1
CHEMBL90427,COc1cccc2c1CCC(Cc1ccncc1)C2=O
CHEMBL88233,COc1ccc2c(c1)CCC(Cc1ccncc1)C2=O
CHEMBL132530,C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL165342,CS[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL351526,C=CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL165106,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCF)C1CCC2=O
CHEMBL164543,C=CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL350074,CSCC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL39403,CCN1CCc2cccc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL287967,CCn1ccc2cccc(C(c3cccc(Cl)c3)n3ccnc3)c21
CHEMBL41429,CCN1CCc2cccc(C(c3ccc(F)cc3)n3cncn3)c21
CHEMBL416616,CCn1ccc2cccc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL39423,CCn1ccc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL285193,CCn1ccc2cccc(C(c3ccc(Br)cc3)n3ccnc3)c21
CHEMBL289945,CCn1ccc2cccc(C(c3ccc(Cl)cc3)n3ccnc3)c21
CHEMBL288695,CCN1CCc2cccc(C(c3cccc(Cl)c3)n3ccnc3)c21
CHEMBL288804,CCN1CCc2cc(Cl)cc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL287950,CCN1CCc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL291646,Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1
CHEMBL65549,Clc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)c(Cl)c1
CHEMBL294360,Fc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1
CHEMBL294357,Clc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1
