molecule_chembl_id,molwt,LogP,TPSA,HBD,HBA,RotB
CHEMBL1667953,709.7960000000002,5.110600000000004,143.62,2,11,19
CHEMBL1667954,709.8400000000001,5.406800000000005,126.55000000000003,2,11,19
CHEMBL1667955,709.7960000000002,5.110600000000004,143.62,2,11,19
CHEMBL1667956,723.8230000000002,5.499100000000006,143.62,2,11,19
CHEMBL1667957,769.8950000000001,7.361000000000009,123.39000000000001,1,10,20
CHEMBL1667958,785.8940000000001,7.066600000000008,143.62,2,11,20
CHEMBL1667959,769.8950000000001,7.361000000000009,123.39000000000001,1,10,20
CHEMBL1667960,785.8940000000001,7.066600000000008,143.62,2,11,20
CHEMBL1765346,1114.761,8.223800000000008,310.22999999999996,4,14,32
CHEMBL1765347,662.809,2.8899000000000035,159.76999999999998,4,7,16
CHEMBL19332,192.17000000000002,0.9131,71.44,1,3,4
CHEMBL18927,298.294,2.4921000000000006,80.67,1,4,7
CHEMBL145280,300.285,2.6430000000000007,71.44,1,3,6
CHEMBL364328,210.16,1.0522,71.44,1,3,4
CHEMBL1234135,387.4350000000001,4.119900000000004,74.67999999999999,1,4,9
CHEMBL1765348,260.167,1.9319000000000002,71.44,1,3,4
CHEMBL1765349,564.6190000000003,6.466200000000006,116.5,2,6,9
CHEMBL1765350,605.8700000000003,8.913700000000002,75.55,1,7,15
CHEMBL1765359,224.263,3.646300000000002,41.29,1,2,2
CHEMBL1766712,451.31800000000004,4.422500000000005,129.56,3,5,8
CHEMBL1778898,349.18000000000006,3.7650000000000015,66.76,2,4,4
CHEMBL1778899,363.2070000000001,4.068000000000003,55.760000000000005,1,4,5
CHEMBL1778900,363.2070000000001,4.068000000000002,55.760000000000005,1,4,5
CHEMBL1778901,405.2880000000001,5.238300000000005,55.760000000000005,1,4,8
CHEMBL1778902,417.2990000000002,5.404400000000003,55.760000000000005,1,4,7
CHEMBL1778903,439.3050000000002,5.638400000000003,55.760000000000005,1,4,7
